posto,time_division,model_id,p,h,h_std,avg_cv_mse,total_aic
ITAIPU,sem,3,5,5,3,,17118.060920105214
ITAIPU,sem,3,5,5,4,,17123.59872582939
ITAIPU,sem,3,5,5,5,,17120.131046984447
ITAIPU,sem,4,1,1,1,,19532.81528900008
ITAIPU,sem,4,1,1,2,,19536.81528900008
ITAIPU,sem,4,1,1,3,,19540.81528900008
ITAIPU,sem,4,1,1,4,,19544.81528900008
ITAIPU,sem,4,1,1,5,,19548.81528900008
ITAIPU,sem,4,1,2,1,,19528.118634993698
ITAIPU,sem,4,1,2,2,,19532.1186349937
ITAIPU,sem,4,1,2,3,,19536.1186349937
ITAIPU,sem,4,1,2,4,,19540.1186349937
ITAIPU,sem,4,1,2,5,,19544.1186349937
ITAIPU,sem,4,1,3,1,,19518.22421973829
ITAIPU,sem,4,1,3,2,,19522.22421973829
ITAIPU,sem,4,1,3,3,,19526.22421973829
ITAIPU,sem,4,1,3,4,,19530.22421973829
ITAIPU,sem,4,1,3,5,,19534.224219738295
ITAIPU,sem,4,1,4,1,,19522.840925074805
ITAIPU,sem,4,1,4,2,,19526.840925074805
ITAIPU,sem,4,1,4,3,,19530.840925074805
ITAIPU,sem,4,1,4,4,,19534.840925074805
ITAIPU,sem,4,1,4,5,,19538.840925074805
ITAIPU,sem,4,1,5,1,,19522.050361072063
ITAIPU,sem,4,1,5,2,,19526.050361072063
ITAIPU,sem,4,1,5,3,,19530.050361072063
ITAIPU,sem,4,1,5,4,,19534.050361072063
ITAIPU,sem,4,1,5,5,,19538.050361072063
ITAIPU,sem,4,2,1,1,,19409.04110339518
ITAIPU,sem,4,2,1,2,,19413.04110339518
ITAIPU,sem,4,2,1,3,,19417.04110339518
ITAIPU,sem,4,2,1,4,,19421.04110339518
ITAIPU,sem,4,2,1,5,,19425.04110339518
ITAIPU,sem,4,2,2,1,,19410.65686171496
ITAIPU,sem,4,2,2,2,,19414.65686171496
ITAIPU,sem,4,2,2,3,,19418.65686171496
ITAIPU,sem,4,2,2,4,,19422.65686171496
ITAIPU,sem,4,2,2,5,,19426.65686171496
ITAIPU,sem,4,2,3,1,,19403.76465482672
